개발 구분,구분,대분류,중분류,소분류,화면명,설명,사용자플로우,정보구조,접근방식,상태관리,비고
2차,1,찜 탭,찜한 시설 관리,찜한 시설 목록,찜한 시설 목록 조회,사용자가 찜한 시설들의 목록을 조회,찜 탭 → 찜한 시설 목록 → 시설 선택,찜한 시설 데이터,리스트 표시,로그인 중,찜한 시설 관리
2차,1,찜 탭,찜한 시설 관리,찜한 시설 정렬,찜한 시설 정렬 기능,최근 추가순 거리순 평점순으로 정렬,찜한 시설 목록 → 정렬 선택 → 목록 재정렬,정렬 데이터,정렬 버튼,로그인 중,정렬 기능
2차,1,찜 탭,찜한 시설 관리,찜한 시설 삭제,찜한 시설 삭제,찜한 시설을 목록에서 삭제,찜한 시설 목록 → 시설 선택 → 찜 해제,찜한 시설 데이터,삭제 버튼,로그인 중,찜 해제 기능
2차,1,찜 탭,찜한 시설 관리,찜한 시설 공유,찜한 시설 공유,찜한 시설을 다른 사용자와 공유,찜한 시설 목록 → 시설 선택 → 공유,공유 데이터,공유 버튼,로그인 중,공유 기능
2차,1,찜 탭,찜한 시설 알림,찜한 시설 이벤트 알림,찜한 시설의 특별 이벤트 알림,찜한 시설 → 이벤트 알림 → 알림 수신,알림 데이터,푸시 알림,알림 수신 중,이벤트 알림
2차,1,찜 탭,찜한 시설 알림,찜한 시설 할인 알림,찜한 시설의 할인 정보 알림,찜한 시설 → 할인 알림 → 알림 수신,알림 데이터,푸시 알림,알림 수신 중,할인 알림
2차,2,시설 예약 시스템,예약 캘린더,예약 캘린더 표시,시설의 예약 가능 시간대를 캘린더로 표시,시설 상세 → 예약 탭 → 캘린더 표시,예약 데이터,캘린더 UI,예약 조회 중,캘린더 표시
2차,2,시설 예약 시스템,예약 캘린더,예약 가능 시간 조회,선택된 날짜의 예약 가능 시간 조회,캘린더 → 날짜 선택 → 시간 조회,예약 데이터,날짜 선택,예약 조회 중,시간 조회
2차,2,시설 예약 시스템,예약 캘린더,실시간 예약 현황,실시간으로 예약 현황 업데이트,캘린더 → 실시간 업데이트 → 현황 확인,예약 현황,실시간 업데이트,예약 조회 중,실시간 업데이트
2차,2,시설 예약 시스템,예약 신청,예약 정보 입력,예약에 필요한 정보 입력,캘린더 → 시간 선택 → 예약 정보 입력,예약 정보,폼 입력,예약 진행 중,예약 정보 입력
2차,2,시설 예약 시스템,예약 신청,결제 정보 입력,예약 결제를 위한 결제 정보 입력,예약 정보 → 결제 정보 → 결제 처리,결제 정보,폼 입력,결제 진행 중,결제 정보 입력
2차,2,시설 예약 시스템,예약 신청,예약 확인,예약 정보 최종 확인,결제 정보 → 예약 확인 → 예약 확정,예약 확인,확인 화면,예약 확정 중,예약 확인
2차,2,시설 예약 시스템,예약 신청,예약 취소,예약 취소 기능,예약 내역 → 예약 취소 → 취소 확인,예약 취소,취소 버튼,취소 진행 중,예약 취소
2차,2,시설 예약 시스템,예약 관리,예약 내역 조회,사용자의 예약 내역 조회,마이페이지 → 예약 내역 → 내역 조회,예약 내역,리스트 표시,로그인 중,예약 내역 조회
2차,2,시설 예약 시스템,예약 관리,예약 상세 정보,예약의 상세 정보 확인,예약 내역 → 예약 선택 → 상세 정보,예약 상세,화면 표시,로그인 중,예약 상세 조회
2차,2,시설 예약 시스템,예약 관리,예약 수정,예약 정보 수정,예약 상세 → 예약 수정 → 정보 변경,예약 수정,폼 입력,수정 중,예약 수정
2차,2,시설 예약 시스템,예약 관리,예약 리뷰 작성,예약 후 리뷰 작성,예약 완료 → 리뷰 작성 → 리뷰 등록,리뷰 데이터,폼 입력,리뷰 작성 중,리뷰 작성
2차,3,디스코드 연동,디스코드 서버 연결,디스코드 서버 연결,디스코드 서버에 연결하여 커뮤니티 확장,커뮤니티 → 디스코드 버튼 → 디스코드 앱 연결,디스코드 연결,외부 앱 연동,연결 중,디스코드 서버 연결
2차,3,디스코드 연동,디스코드 채널 참여,디스코드 채널 참여,디스코드 채널에 참여하여 실시간 채팅,디스코드 연결 → 채널 선택 → 채널 참여,디스코드 채널,외부 앱 연동,참여 중,디스코드 채널 참여
2차,3,디스코드 연동,디스코드 음성 채팅,디스코드 음성 채팅,디스코드 음성 채널에서 음성 채팅,디스코드 → 음성 채널 → 음성 채팅,음성 채팅,외부 앱 연동,음성 채팅 중,디스코드 음성 채팅
2차,3,디스코드 연동,디스코드 화상 채팅,디스코드 화상 채팅,디스코드 화상 채널에서 화상 채팅,디스코드 → 화상 채널 → 화상 채팅,화상 채팅,외부 앱 연동,화상 채팅 중,디스코드 화상 채팅
